rift_density,resource_count,initial_fuel,base_supply,resource_supply,seed_start,seed_count,seed_end,total_runs,direct_feasible_count,direct_feasible_ratio,via_base_feasible_count,via_base_feasible_ratio,via_resource_feasible_count,via_resource_feasible_ratio,any_feasible_count,any_feasible_ratio,still_infeasible_count,still_infeasible_ratio,direct_failure_count,rescued_by_base_count,rescued_by_base_ratio,rescued_by_resource_count,rescued_by_resource_ratio,base_only_rescue_count,base_only_rescue_ratio,resource_only_rescue_count,resource_only_rescue_ratio,both_supply_options_count,both_supply_options_ratio,base_rescue_rate_among_direct_failures,resource_rescue_rate_among_direct_failures,any_rescue_rate_among_direct_failures,base_only_share_among_rescued,any_feasible_ratio_delta_vs_r0,still_infeasible_ratio_delta_vs_r0,remaining_fuel_at_goal_sample_count,remaining_fuel_at_goal_excluded_count,remaining_fuel_at_goal_min,remaining_fuel_at_goal_median,remaining_fuel_at_goal_p90,remaining_fuel_at_goal_max,required_supply_sample_count,required_supply_excluded_count,required_supply_min,required_supply_median,required_supply_p90,required_supply_max,best_cost_via_resource_sample_count,best_cost_via_resource_excluded_count,best_cost_via_resource_min,best_cost_via_resource_median,best_cost_via_resource_p90,best_cost_via_resource_max
0.10,1,18,12,5,1,1000,1000,1000,917,0.917,977,0.977,937,0.937,977,0.977,23,0.023,83,60,0.06,49,0.049,11,0.011,0,0.0,49,0.049,0.7228915662650602,0.5903614457831325,0.7228915662650602,0.18333333333333332,0.0,0.0,977,23,5,13,15,16,977,23,0,0,0,4,977,23,14,18,21,31
0.10,1,20,8,5,1,1000,1000,1000,971,0.971,977,0.977,965,0.965,977,0.977,23,0.023,29,6,0.006,5,0.005,1,0.001,0,0.0,5,0.005,0.20689655172413793,0.1724137931034483,0.20689655172413793,0.16666666666666666,0.0,0.0,977,23,3,11,13,14,977,23,0,0,0,2,977,23,14,18,21,31
0.10,1,20,10,5,1,1000,1000,1000,971,0.971,977,0.977,965,0.965,977,0.977,23,0.023,29,6,0.006,5,0.005,1,0.001,0,0.0,5,0.005,0.20689655172413793,0.1724137931034483,0.20689655172413793,0.16666666666666666,0.0,0.0,977,23,5,13,15,16,977,23,0,0,0,2,977,23,14,18,21,31
0.10,1,20,12,5,1,1000,1000,1000,971,0.971,977,0.977,965,0.965,977,0.977,23,0.023,29,6,0.006,5,0.005,1,0.001,0,0.0,5,0.005,0.20689655172413793,0.1724137931034483,0.20689655172413793,0.16666666666666666,0.0,0.0,977,23,7,15,17,18,977,23,0,0,0,2,977,23,14,18,21,31
0.10,1,22,8,5,1,1000,1000,1000,977,0.977,977,0.977,974,0.974,977,0.977,23,0.023,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,977,23,5,13,15,16,977,23,0,0,0,0,977,23,14,18,21,31
0.10,1,22,10,5,1,1000,1000,1000,977,0.977,977,0.977,974,0.974,977,0.977,23,0.023,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,977,23,7,15,17,18,977,23,0,0,0,0,977,23,14,18,21,31
0.10,1,22,12,5,1,1000,1000,1000,977,0.977,977,0.977,974,0.974,977,0.977,23,0.023,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,977,23,9,17,19,20,977,23,0,0,0,0,977,23,14,18,21,31
0.10,1,24,8,5,1,1000,1000,1000,977,0.977,977,0.977,976,0.976,977,0.977,23,0.023,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,977,23,7,15,17,18,977,23,0,0,0,0,977,23,14,18,21,31
0.10,1,24,10,5,1,1000,1000,1000,977,0.977,977,0.977,976,0.976,977,0.977,23,0.023,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,977,23,9,17,19,20,977,23,0,0,0,0,977,23,14,18,21,31
0.10,1,24,12,5,1,1000,1000,1000,977,0.977,977,0.977,976,0.976,977,0.977,23,0.023,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,977,23,11,19,21,22,977,23,0,0,0,0,977,23,14,18,21,31
0.10,3,14,8,5,1,1000,1000,1000,130,0.13,973,0.973,928,0.928,977,0.977,23,0.023,870,843,0.843,798,0.798,49,0.049,4,0.004,794,0.794,0.9689655172413794,0.9172413793103448,0.9735632183908046,0.05785123966942149,0.006000000000000005,-0.006000000000000002,977,23,0,6,7,8,977,23,0,2,4,7,977,23,14,16,18,22
0.10,3,14,10,5,1,1000,1000,1000,130,0.13,976,0.976,928,0.928,977,0.977,23,0.023,870,846,0.846,798,0.798,49,0.049,1,0.001,797,0.797,0.9724137931034482,0.9172413793103448,0.9735632183908046,0.05785123966942149,0.0,0.0,977,23,0,8,9,10,977,23,0,2,4,7,977,23,14,16,18,22
0.10,3,14,12,5,1,1000,1000,1000,130,0.13,976,0.976,928,0.928,977,0.977,23,0.023,870,846,0.846,798,0.798,49,0.049,1,0.001,797,0.797,0.9724137931034482,0.9172413793103448,0.9735632183908046,0.05785123966942149,0.0,0.0,977,23,0,10,11,12,977,23,0,2,4,7,977,23,14,16,18,22
0.10,3,16,8,5,1,1000,1000,1000,634,0.634,977,0.977,975,0.975,977,0.977,23,0.023,366,343,0.343,341,0.341,2,0.002,0,0.0,341,0.341,0.9371584699453552,0.9316939890710383,0.9371584699453552,0.0058309037900874635,0.0,0.0,977,23,2,8,9,10,977,23,0,0,2,5,977,23,14,16,18,22
0.10,3,16,10,5,1,1000,1000,1000,634,0.634,977,0.977,975,0.975,977,0.977,23,0.023,366,343,0.343,341,0.341,2,0.002,0,0.0,341,0.341,0.9371584699453552,0.9316939890710383,0.9371584699453552,0.0058309037900874635,0.0,0.0,977,23,3,10,11,12,977,23,0,0,2,5,977,23,14,16,18,22
0.10,3,16,12,5,1,1000,1000,1000,634,0.634,977,0.977,975,0.975,977,0.977,23,0.023,366,343,0.343,341,0.341,2,0.002,0,0.0,341,0.341,0.9371584699453552,0.9316939890710383,0.9371584699453552,0.0058309037900874635,0.0,0.0,977,23,4,12,13,14,977,23,0,0,2,5,977,23,14,16,18,22
0.10,3,18,8,5,1,1000,1000,1000,927,0.927,977,0.977,977,0.977,977,0.977,23,0.023,73,50,0.05,50,0.05,0,0.0,0,0.0,50,0.05,0.684931506849315,0.684931506849315,0.684931506849315,0.0,0.0,0.0,977,23,4,10,11,12,977,23,0,0,0,3,977,23,14,16,18,22
0.10,3,18,10,5,1,1000,1000,1000,927,0.927,977,0.977,977,0.977,977,0.977,23,0.023,73,50,0.05,50,0.05,0,0.0,0,0.0,50,0.05,0.684931506849315,0.684931506849315,0.684931506849315,0.0,0.0,0.0,977,23,5,12,13,14,977,23,0,0,0,3,977,23,14,16,18,22
0.10,3,18,12,5,1,1000,1000,1000,927,0.927,977,0.977,977,0.977,977,0.977,23,0.023,73,50,0.05,50,0.05,0,0.0,0,0.0,50,0.05,0.684931506849315,0.684931506849315,0.684931506849315,0.0,0.0,0.0,977,23,6,14,15,16,977,23,0,0,0,3,977,23,14,16,18,22
0.10,3,20,8,5,1,1000,1000,1000,974,0.974,977,0.977,977,0.977,977,0.977,23,0.023,26,3,0.003,3,0.003,0,0.0,0,0.0,3,0.003,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.0,0.0,0.0,977,23,6,12,13,14,977,23,0,0,0,1,977,23,14,16,18,22
0.10,3,20,10,5,1,1000,1000,1000,974,0.974,977,0.977,977,0.977,977,0.977,23,0.023,26,3,0.003,3,0.003,0,0.0,0,0.0,3,0.003,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.0,0.0,0.0,977,23,7,14,15,16,977,23,0,0,0,1,977,23,14,16,18,22
0.10,3,20,12,5,1,1000,1000,1000,974,0.974,977,0.977,977,0.977,977,0.977,23,0.023,26,3,0.003,3,0.003,0,0.0,0,0.0,3,0.003,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.0,0.0,0.0,977,23,8,16,17,18,977,23,0,0,0,1,977,23,14,16,18,22
0.10,3,22,8,5,1,1000,1000,1000,977,0.977,977,0.977,977,0.977,977,0.977,23,0.023,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,977,23,8,14,15,16,977,23,0,0,0,0,977,23,14,16,18,22
0.10,3,22,10,5,1,1000,1000,1000,977,0.977,977,0.977,977,0.977,977,0.977,23,0.023,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,977,23,9,16,17,18,977,23,0,0,0,0,977,23,14,16,18,22
0.10,3,22,12,5,1,1000,1000,1000,977,0.977,977,0.977,977,0.977,977,0.977,23,0.023,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,977,23,10,18,19,20,977,23,0,0,0,0,977,23,14,16,18,22
0.10,3,24,8,5,1,1000,1000,1000,977,0.977,977,0.977,977,0.977,977,0.977,23,0.023,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,977,23,10,16,17,18,977,23,0,0,0,0,977,23,14,16,18,22
0.10,3,24,10,5,1,1000,1000,1000,977,0.977,977,0.977,977,0.977,977,0.977,23,0.023,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,977,23,11,18,19,20,977,23,0,0,0,0,977,23,14,16,18,22
0.10,3,24,12,5,1,1000,1000,1000,977,0.977,977,0.977,977,0.977,977,0.977,23,0.023,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,977,23,12,20,21,22,977,23,0,0,0,0,977,23,14,16,18,22
0.15,0,14,8,5,1,1000,1000,1000,56,0.056,923,0.923,0,0.0,923,0.923,77,0.077,944,867,0.867,0,0.0,867,0.867,0,0.0,0,0.0,0.9184322033898306,0.0,0.9184322033898306,1.0,0.0,0.0,923,77,0,5,7,8,935,65,0,3,6,11,0,1000,N/A,N/A,N/A,N/A
0.15,0,14,10,5,1,1000,1000,1000,56,0.056,934,0.934,0,0.0,934,0.934,66,0.066,944,878,0.878,0,0.0,878,0.878,0,0.0,0,0.0,0.9300847457627118,0.0,0.9300847457627118,1.0,0.0,0.0,934,66,0,7.0,9,10,935,65,0,3,6,11,0,1000,N/A,N/A,N/A,N/A
0.15,0,14,12,5,1,1000,1000,1000,56,0.056,935,0.935,0,0.0,935,0.935,65,0.065,944,879,0.879,0,0.0,879,0.879,0,0.0,0,0.0,0.9311440677966102,0.0,0.9311440677966102,1.0,0.0,0.0,935,65,1,9,11,12,935,65,0,3,6,11,0,1000,N/A,N/A,N/A,N/A
0.15,0,16,8,5,1,1000,1000,1000,447,0.447,935,0.935,0,0.0,935,0.935,65,0.065,553,488,0.488,0,0.0,488,0.488,0,0.0,0,0.0,0.8824593128390597,0.0,0.8824593128390597,1.0,0.0,0.0,935,65,0,7,9,10,936,64,0,1.0,4,9,0,1000,N/A,N/A,N/A,N/A
0.15,0,16,10,5,1,1000,1000,1000,447,0.447,936,0.936,0,0.0,936,0.936,64,0.064,553,489,0.489,0,0.0,489,0.489,0,0.0,0,0.0,0.8842676311030742,0.0,0.8842676311030742,1.0,0.0,0.0,936,64,1,9.0,11,12,936,64,0,1.0,4,9,0,1000,N/A,N/A,N/A,N/A
0.15,0,16,12,5,1,1000,1000,1000,447,0.447,936,0.936,0,0.0,936,0.936,64,0.064,553,489,0.489,0,0.0,489,0.489,0,0.0,0,0.0,0.8842676311030742,0.0,0.8842676311030742,1.0,0.0,0.0,936,64,3,11.0,13,14,936,64,0,1.0,4,9,0,1000,N/A,N/A,N/A,N/A
0.15,0,18,8,5,1,1000,1000,1000,811,0.811,937,0.937,0,0.0,938,0.938,62,0.062,189,127,0.127,0,0.0,127,0.127,0,0.0,0,0.0,0.671957671957672,0.0,0.671957671957672,1.0,0.0,0.0,938,62,0,9.0,11,12,938,62,0,0.0,1,7,0,1000,N/A,N/A,N/A,N/A
0.15,0,18,10,5,1,1000,1000,1000,811,0.811,938,0.938,0,0.0,938,0.938,62,0.062,189,127,0.127,0,0.0,127,0.127,0,0.0,0,0.0,0.671957671957672,0.0,0.671957671957672,1.0,0.0,0.0,938,62,1,11.0,13,14,938,62,0,0.0,1,7,0,1000,N/A,N/A,N/A,N/A
0.15,0,18,12,5,1,1000,1000,1000,811,0.811,938,0.938,0,0.0,938,0.938,62,0.062,189,127,0.127,0,0.0,127,0.127,0,0.0,0,0.0,0.671957671957672,0.0,0.671957671957672,1.0,0.0,0.0,938,62,3,13.0,15,16,938,62,0,0.0,1,7,0,1000,N/A,N/A,N/A,N/A
0.15,0,20,8,5,1,1000,1000,1000,923,0.923,938,0.938,0,0.0,938,0.938,62,0.062,77,15,0.015,0,0.0,15,0.015,0,0.0,0,0.0,0.19480519480519481,0.0,0.19480519480519481,1.0,0.0,0.0,938,62,2,11.0,13,14,938,62,0,0.0,0,3,0,1000,N/A,N/A,N/A,N/A
0.15,0,20,10,5,1,1000,1000,1000,923,0.923,938,0.938,0,0.0,938,0.938,62,0.062,77,15,0.015,0,0.0,15,0.015,0,0.0,0,0.0,0.19480519480519481,0.0,0.19480519480519481,1.0,0.0,0.0,938,62,3,13.0,15,16,938,62,0,0.0,0,3,0,1000,N/A,N/A,N/A,N/A
0.15,0,20,12,5,1,1000,1000,1000,923,0.923,938,0.938,0,0.0,938,0.938,62,0.062,77,15,0.015,0,0.0,15,0.015,0,0.0,0,0.0,0.19480519480519481,0.0,0.19480519480519481,1.0,0.0,0.0,938,62,5,15.0,17,18,938,62,0,0.0,0,3,0,1000,N/A,N/A,N/A,N/A
0.15,0,22,8,5,1,1000,1000,1000,937,0.937,938,0.938,0,0.0,938,0.938,62,0.062,63,1,0.001,0,0.0,1,0.001,0,0.0,0,0.0,0.015873015873015872,0.0,0.015873015873015872,1.0,0.0,0.0,938,62,4,13.0,15,16,938,62,0,0.0,0,1,0,1000,N/A,N/A,N/A,N/A
0.15,0,22,10,5,1,1000,1000,1000,937,0.937,938,0.938,0,0.0,938,0.938,62,0.062,63,1,0.001,0,0.0,1,0.001,0,0.0,0,0.0,0.015873015873015872,0.0,0.015873015873015872,1.0,0.0,0.0,938,62,5,15.0,17,18,938,62,0,0.0,0,1,0,1000,N/A,N/A,N/A,N/A
0.15,0,22,12,5,1,1000,1000,1000,937,0.937,938,0.938,0,0.0,938,0.938,62,0.062,63,1,0.001,0,0.0,1,0.001,0,0.0,0,0.0,0.015873015873015872,0.0,0.015873015873015872,1.0,0.0,0.0,938,62,7,17.0,19,20,938,62,0,0.0,0,1,0,1000,N/A,N/A,N/A,N/A
0.15,0,24,8,5,1,1000,1000,1000,938,0.938,938,0.938,0,0.0,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,6,15.0,17,18,938,62,0,0.0,0,0,0,1000,N/A,N/A,N/A,N/A
0.15,0,24,10,5,1,1000,1000,1000,938,0.938,938,0.938,0,0.0,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,7,17.0,19,20,938,62,0,0.0,0,0,0,1000,N/A,N/A,N/A,N/A
0.15,0,24,12,5,1,1000,1000,1000,938,0.938,938,0.938,0,0.0,938,0.938,62,0.062,62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,938,62,9,19.0,21,22,938,62,0,0.0,0,0,0,1000,N/A,N/A,N/A,N/A
0.15,1,14,8,5,1,1000,1000,1000,41,0.041,913,0.913,555,0.555,925,0.925,75,0.075,959,872,0.872,519,0.519,365,0.365,12,0.012,507,0.507,0.9092805005213764,0.5411887382690302,0.921793534932221,0.41289592760180993,0.0020000000000000018,-0.0020000000000000018,925,75,0,5,7,8,937,63,0,3,6,11,937,63,14,18,23,32
